Sweep	n_models_visited
913	42698
914	42701
915	42789
916	42884
917	42889
918	42894
919	42899
920	42986
921	43073
922	43158
923	43163
924	43168
925	43171
926	43174
927	43254
928	43259
929	43262
930	43333
931	43395
932	43400
933	43405
934	43480
935	43553
936	43558
937	43643
938	43716
939	43721
940	43726
941	43807
942	43812
943	43896
944	43988
945	43993
946	43998
947	44089
948	44094
949	44192
950	44282
951	44285
952	44371
953	44458
954	44547
955	44552
956	44655
957	44660
958	44663
959	44759
960	44842
961	44847
962	44926
963	44929
964	44934
965	44939
966	45034
967	45039
968	45120
969	45123
970	45211
971	45214
972	45296
973	45301
974	45390
975	45393
976	45396
977	45399
978	45474
979	45569
980	45572
981	45656
982	45661
983	45740
984	45818
985	45823
986	45904
987	45909
988	45912
989	45917
990	45922
991	45925
992	46003
993	46006
994	46011
995	46091
996	46166
997	46244
998	46316
999	46390
1000	47239
1001	47244
1002	47315
1003	47385
1004	47455
1005	47527
1006	47530
1007	47599
1008	47669
1009	47734
1010	47799
1011	47872
1012	47945
1013	48016
1014	48021
1015	48026
1016	48031
1017	48110
1018	48182
1019	48185
1020	48190
1021	48195
1022	48198
1023	48201
1024	48278
1025	48281
1026	48358
1027	48363
1028	48366
1029	48448
1030	48530
1031	48602
1032	48607
1033	48612
1034	48701
1035	48706
1036	48781
1037	48848
1038	48851
1039	48854
1040	48859
1041	48933
1042	49006
1043	49083
1044	49086
1045	49157
1046	49160
1047	49163
1048	49166
1049	49169
1050	49236
1051	49241
1052	49310
1053	49390
1054	49459
1055	49462
1056	49465
1057	49535
1058	49538
1059	49611
1060	49686
1061	49689
1062	49694
1063	49759
1064	49764
1065	49833
1066	49838
1067	49843
1068	49846
1069	49849
1070	49925
1071	49930
1072	50006
1073	50011
1074	50014
1075	50019
1076	50024
1077	50093
1078	50096
1079	50099
1080	50104
1081	50186
1082	50191
1083	50196
1084	50201
1085	50289
1086	50371
1087	50441
1088	50527
1089	50530
1090	50535
1091	50540
1092	50545
1093	50635
1094	50640
1095	50645
1096	50650
1097	50730
1098	50735
1099	50738
1100	50819
1101	50824
1102	50829
1103	50834
1104	50837
1105	50910
1106	51003
1107	51079
1108	51171
1109	51259
1110	51355
1111	51360
1112	51365
1113	51370
1114	51462
1115	51556
1116	51561
1117	51652
1118	51745
1119	51843
1120	51950
1121	52053
1122	52154
1123	52258
1124	52263
1125	52351
1126	52468
1127	52577
1128	52687
1129	52784
1130	52888
1131	52893
1132	52898
1133	52996
1134	53092
1135	53194
1136	53287
1137	53389
1138	53483
1139	53589
1140	53692
1141	53697
1142	53796
1143	53801
1144	53806
1145	53811
1146	53926
1147	53931
1148	53936
1149	53941
1150	54054
1151	54140
1152	54145
1153	54244
1154	54336
1155	54341
1156	54427
1157	54432
1158	54435
1159	54440
1160	54536
1161	54541
1162	54636
1163	54738
1164	54853
1165	54959
1166	55070
1167	55075
1168	55080
1169	55085
1170	55090
1171	55093
1172	55098
1173	55199
1174	55204
1175	55318
1176	55413
1177	55416
1178	55419
1179	55522
1180	55527
1181	55532
1182	55622
1183	55716
1184	55807
1185	55810
1186	55899
1187	56004
1188	56009
1189	56014
1190	56019
1191	56121
1192	56126
1193	56131
1194	56136
1195	56139
1196	56248
1197	56253
1198	56258
1199	56261
1200	56266
1201	56271
1202	56371
1203	56463
1204	56468
1205	56473
1206	56575
1207	56683
1208	56773
1209	56879
1210	56991
1211	57108
1212	57215
1213	57220
1214	57334
1215	57441
1216	57535
1217	57631
1218	57736
1219	57741
1220	57845
1221	57943
1222	58054
1223	58164
1224	58263
1225	58383
1226	58489
1227	58605
1228	58610
1229	58613
1230	58715
1231	58720
1232	58725
1233	58730
1234	58844
1235	58957
1236	59058
1237	59162
1238	59167
1239	59270
1240	59275
1241	59280
1242	59386
1243	59481
1244	59570
1245	59575
1246	59580
1247	59585
1248	59588
1249	59593
1250	59682
1251	59687
1252	59692
1253	59791
1254	59897
1255	59900
1256	60000
1257	60111
1258	60218
1259	60329
1260	60429
1261	60434
1262	60551
1263	60662
1264	60667
1265	60672
1266	60677
1267	60682
1268	60687
1269	60690
1270	60812
1271	60914
1272	60919
1273	61015
1274	61110
1275	61223
1276	61228
1277	61233
1278	61238
1279	61343
1280	61348
1281	61464
1282	61568
1283	61573
1284	61578
1285	61702
1286	61812
1287	61911
1288	61916
1289	61921
1290	61926
1291	62034
1292	62039
1293	62044
1294	62049
1295	62052
1296	62057
1297	62169
1298	62268
1299	62364
1300	62369
1301	62471
1302	62474
1303	62575
1304	62580
1305	62686
1306	62691
1307	62694
1308	62807
1309	62901
1310	63008
1311	63104
1312	63203
1313	63306
1314	63309
1315	63438
1316	63547
1317	63637
1318	63640
1319	63751
1320	63756
1321	63877
1322	63989
1323	64094
1324	64198
1325	64203
1326	64206
1327	64209
1328	64212
1329	64334
1330	64435
1331	64440
1332	64537
1333	64636
1334	64639
1335	64746
1336	64829
1337	64921
1338	64926
1339	65032
1340	65133
1341	65242
1342	65247
1343	65354
1344	65359
1345	65459
1346	65462
1347	65569
1348	65669
1349	65770
1350	65872
1351	65981
1352	66104
1353	66207
1354	66297
1355	66300
1356	66305
1357	66424
1358	66537
1359	66645
1360	66650
1361	66655
1362	66658
1363	66780
1364	66785
1365	66909
1366	67019
1367	67024
1368	67130
1369	67135
1370	67252
1371	67257
1372	67366
1373	67369
1374	67374
1375	67488
1376	67493
1377	67604
1378	67609
1379	67716
1380	67822
1381	67827
1382	67830
1383	67934
1384	67939
1385	67944
1386	67949
1387	68059
1388	68064
1389	68069
1390	68170
1391	68260
1392	68263
1393	68360
1394	68452
1395	68457
1396	68556
1397	68561
1398	68566
1399	68571
1400	68576
1401	68680
1402	68685
1403	68784
1404	68789
1405	68889
1406	69015
1407	69020
1408	69126
1409	69131
1410	69236
1411	69353
1412	69462
1413	69467
1414	69472
1415	69577
1416	69582
1417	69678
1418	69683
1419	69688
1420	69792
1421	69896
1422	69901
1423	69906
1424	69911
1425	69916
1426	70016
1427	70119
1428	70124
1429	70129
1430	70221
1431	70298
1432	70371
1433	70376
1434	70457
1435	70545
1436	70623
1437	70628
1438	70712
1439	70717
1440	70810
1441	70815
1442	70820
1443	70825
1444	70925
1445	71004
1446	71104
1447	71198
1448	71201
1449	71301
1450	71405
1451	71410
1452	71504
1453	71509
1454	71611
1455	71713
1456	71718
1457	71723
1458	71824
1459	71829
1460	71929
1461	72027
1462	72125
1463	72227
1464	72335
1465	72340
1466	72451
1467	72548
1468	72553
1469	72558
1470	72563
1471	72566
1472	72676
1473	72681
1474	72777
1475	72865
1476	72956
1477	72961
1478	72966
1479	73062
1480	73156
1481	73243
1482	73246
1483	73336
1484	73428
1485	73433
1486	73538
1487	73543
1488	73548
1489	73553
1490	73558
1491	73563
1492	73568
1493	73571
1494	73576
1495	73581
1496	73586
1497	73591
1498	73594
1499	73687
1500	73692
1501	73797
1502	73886
1503	73974
1504	74065
1505	74068
1506	74071
1507	74076
1508	74081
1509	74186
1510	74282
1511	74287
1512	74380
1513	74385
1514	74471
1515	74474
1516	74569
1517	74574
1518	74577
1519	74580
1520	74585
1521	74687
1522	74792
1523	74797
1524	74800
1525	74899
1526	74999
1527	75004
1528	75007
1529	75012
1530	75017
1531	75022
1532	75118
1533	75121
1534	75198
1535	75272
1536	75277
1537	75347
1538	75425
1539	75428
1540	75433
1541	75516
1542	75599
1543	75604
1544	75609
1545	75694
1546	75773
1547	75863
1548	75944
1549	76030
1550	76128
1551	76225
1552	76230
1553	76324
1554	76413
1555	76418
1556	76526
1557	76618
1558	76621
1559	76708
1560	76806
1561	76811
1562	76922
1563	77011
1564	77096
1565	77189
1566	77194
1567	77199
1568	77204
1569	77209
1570	77292
1571	77297
1572	77302
1573	77388
1574	77479
1575	77574
1576	77663
1577	77668
1578	77673
1579	77678
1580	77681
1581	77775
1582	77778
1583	77873
1584	77876
1585	77881
1586	77886
1587	77891
1588	77973
1589	78050
1590	78135
1591	78140
1592	78145
1593	78150
1594	78155
1595	78160
1596	78255
1597	78345
1598	78439
1599	78540
1600	78635
1601	78640
1602	78645
1603	78728
1604	78825
1605	78828
1606	78917
1607	78922
1608	79011
1609	79096
1610	79101
1611	79106
1612	79109
1613	79193
1614	79269
1615	79357
1616	79429
1617	79508
1618	79587
1619	79662
1620	79667
1621	79672
1622	79677
1623	79755
1624	79760
1625	79837
1626	79842
1627	79847
1628	79852
1629	79855
1630	79860
1631	79863
1632	79866
1633	79869
1634	79943
1635	80025
1636	80028
1637	80033
1638	80038
1639	80043
1640	80046
1641	80049
1642	80052
1643	80130
1644	80199
1645	80204
1646	80272
1647	80333
1648	80338
1649	80401
1650	80471
1651	80476
1652	80479
1653	80551
1654	80625
1655	80630
1656	80704
1657	80709
1658	80712
1659	80799
1660	80804
1661	80885
1662	80971
1663	80976
1664	81042
1665	81104
1666	81170
1667	81247
1668	81252
1669	81323
1670	81328
1671	81406
1672	81411
1673	81414
1674	81419
1675	81495
1676	81566
1677	81638
1678	81721
1679	81724
1680	81729
1681	81817
1682	81820
1683	81899
1684	81904
1685	81987
1686	82067
1687	82072
1688	82147
1689	82150
1690	82155
1691	82158
1692	82243
1693	82316
1694	82319
1695	82322
1696	82325
1697	82403
1698	82408
1699	82488
1700	82577
1701	82656
1702	82659
1703	82723
1704	82726
1705	82801
1706	82806
1707	82881
1708	82959
1709	83044
1710	83137
1711	83217
1712	83222
1713	83227
1714	83232
1715	83312
1716	83317
1717	83404
1718	83475
1719	83478
1720	83553
1721	83638
1722	83710
1723	83778
1724	83839
1725	83909
1726	83914
1727	83919
1728	83971
1729	83974
1730	83979
1731	83984
1732	84048
1733	84114
1734	84182
1735	84236
1736	84293
1737	84298
1738	84301
1739	84366
1740	84441
1741	84517
1742	84522
1743	84607
1744	84610
1745	84691
1746	84770
1747	84775
1748	84855
1749	84927
1750	84995
1751	85066
1752	85138
1753	85143
1754	85148
1755	85224
1756	85319
1757	85322
1758	85327
1759	85418
1760	85421
1761	85510
1762	85610
1763	85703
1764	85791
1765	85796
1766	85801
1767	85899
1768	85904
1769	86006
1770	86011
1771	86096
1772	86183
1773	86188
1774	86191
1775	86271
1776	86357
1777	86438
1778	86530
1779	86630
1780	86635
1781	86638
1782	86728
1783	86731
1784	86824
1785	86913
1786	86918
1787	87010
1788	87015
1789	87118
1790	87219
1791	87222
1792	87227
1793	87317
1794	87425
1795	87428
1796	87524
1797	87527
1798	87624
1799	87710
1800	87807
1801	87905
1802	87998
1803	88001
1804	88105
1805	88199
1806	88291
1807	88294
1808	88299
1809	88304
1810	88309
1811	88314
1812	88399
1813	88483
1814	88576
1815	88655
1816	88660
1817	88665
1818	88747
1819	88840
1820	88930
1821	89030
1822	89033
1823	89036
1824	89041
1825	89142
1826	89237
1827	89242
1828	89333
1829	89336
1830	89341
1831	89346
1832	89351
1833	89439
1834	89532
1835	89629
1836	89708
1837	89787
1838	89792
1839	89797
1840	89888
1841	89978
1842	90072
1843	90165
1844	90253
1845	90344
1846	90427
1847	90432
1848	90515
1849	90610
1850	90615
1851	90620
1852	90625
1853	90715
1854	90790
1855	90795
1856	90800
1857	90805
1858	90881
1859	90975
1860	91060
1861	91063
1862	91066
1863	91071
1864	91155
1865	91243
1866	91328
1867	91333
1868	91338
1869	91341
1870	91423
1871	91426
1872	91431
1873	91434
1874	91439
1875	91442
1876	91447
1877	91525
1878	91528
1879	91533
1880	91536
1881	91539
1882	91542
1883	91617
1884	91699
1885	91704
1886	91802
1887	91893
1888	91972
1889	92042
1890	92122
1891	92127
1892	92132
1893	92222
1894	92225
1895	92315
1896	92393
1897	92477
1898	92552
1899	92557
1900	92649
1901	92736
1902	92739
1903	92817
1904	92822
1905	92827
1906	92914
1907	92919
1908	93017
1909	93112
1910	93205
1911	93210
1912	93296
1913	93391
1914	93489
1915	93583
1916	93679
1917	93684
1918	93687
1919	93692
1920	93695
1921	93798
1922	93895
1923	93990
1924	94086
1925	94089
1926	94094
1927	94184
1928	94189
1929	94192
1930	94281
1931	94391
1932	94396
1933	94500
1934	94609
1935	94718
1936	94817
1937	94820
1938	94920
1939	94925
1940	94930
1941	94933
1942	95023
1943	95026
1944	95031
1945	95126
1946	95219
1947	95224
1948	95320
1949	95323
1950	95422
1951	95425
1952	95428
1953	95431
1954	95436
1955	95532
1956	95535
1957	95540
1958	95625
1959	95716
1960	95810
1961	95904
1962	95995
1963	96089
1964	96190
1965	96193
1966	96283
1967	96388
1968	96481
1969	96585
1970	96588
1971	96695
1972	96796
1973	96899
1974	96994
1975	96999
1976	97094
1977	97187
1978	97298
1979	97303
1980	97392
1981	97397
1982	97400
1983	97490
1984	97596
1985	97601
1986	97606
1987	97611
1988	97616
1989	97621
1990	97626
1991	97631
1992	97636
1993	97641
1994	97646
1995	97760
1996	97864
1997	97869
1998	97874
1999	97958
2000	98828
2001	98833
2002	98927
2003	99027
2004	99118
2005	99208
2006	99213
2007	99218
2008	99221
2009	99314
2010	99319
2011	99322
2012	99327
2013	99332
2014	99335
2015	99338
2016	99341
2017	99344
2018	99349
2019	99354
2020	99359
2021	99364
2022	99463
2023	99466
2024	99554
2025	99651
2026	99741
2027	99744
2028	99829
2029	99834
2030	99924
2031	99927
2032	100004
2033	100007
2034	100012
2035	100090
2036	100167
2037	100234
2038	100239
2039	100244
2040	100249
2041	100254
2042	100257
2043	100262
2044	100340
2045	100345
2046	100350
2047	100420
2048	100425
2049	100500
2050	100583
2051	100668
2052	100754
2053	100838
2054	100841
2055	100846
2056	100939
2057	101031
2058	101134
2059	101139
2060	101142
2061	101225
2062	101312
2063	101315
2064	101320
2065	101325
2066	101418
2067	101508
2068	101602
2069	101607
2070	101610
2071	101699
2072	101787
2073	101871
2074	101876
2075	101881
2076	101967
2077	101972
2078	101977
2079	102058
2080	102127
2081	102132
2082	102137
2083	102142
2084	102218
2085	102302
2086	102305
2087	102392
2088	102480
2089	102485
2090	102490
2091	102579
2092	102673
2093	102678
2094	102763
2095	102766
2096	102771
2097	102853
2098	102858
2099	102863
2100	102868
2101	102951
2102	103045
2103	103050
2104	103055
2105	103060
2106	103065
2107	103163
2108	103253
2109	103258
2110	103361
2111	103451
2112	103541
2113	103641
2114	103726
2115	103731
2116	103813
2117	103899
2118	103992
2119	103995
2120	104000
2121	104005
2122	104100
2123	104105
2124	104204
2125	104209
2126	104296
2127	104301
2128	104389
2129	104480
2130	104485
2131	104490
2132	104586
2133	104591
2134	104594
2135	104599
2136	104604
2137	104709
2138	104809
2139	104812
2140	104925
2141	104928
2142	104933
2143	105032
2144	105131
2145	105220
2146	105321
2147	105326
2148	105331
2149	105431
2150	105536
2151	105639
2152	105728
2153	105831
2154	105836
2155	105841
2156	105943
2157	106025
2158	106030
2159	106128
2160	106220
2161	106225
2162	106230
2163	106335
2164	106424
2165	106427
2166	106430
2167	106435
2168	106440
2169	106535
2170	106540
2171	106641
2172	106735
2173	106740
2174	106745
2175	106844
2176	106935
2177	106940
2178	106945
2179	106950
2180	107050
2181	107055
2182	107058
2183	107159
2184	107263
2185	107353
2186	107358
2187	107363
2188	107368
2189	107373
2190	107378
2191	107472
2192	107475
2193	107480
2194	107582
2195	107587
2196	107590
2197	107595
2198	107684
2199	107782
2200	107877
2201	107882
2202	107887
2203	107890
2204	107895
2205	107900
2206	107905
2207	107910
2208	108029
2209	108130
2210	108215
2211	108220
2212	108225
2213	108230
2214	108334
2215	108446
2216	108451
2217	108456
2218	108561
2219	108566
2220	108571
2221	108674
2222	108679
2223	108780
2224	108783
2225	108873
2226	108878
2227	108883
2228	108971
2229	108976
2230	108979
2231	109069
2232	109074
2233	109178
2234	109280
2235	109285
2236	109380
2237	109486
2238	109489
2239	109589
2240	109693
2241	109789
2242	109880
2243	109885
2244	109890
2245	109988
2246	110079
2247	110084
2248	110157
2249	110162
2250	110167
2251	110172
2252	110175
2253	110257
2254	110344
2255	110349
2256	110442
2257	110447
2258	110450
2259	110538
2260	110625
2261	110630
2262	110633
2263	110638
2264	110722
2265	110816
2266	110929
2267	111018
2268	111021
2269	111026
2270	111031
2271	111132
2272	111137
2273	111140
2274	111145
2275	111150
2276	111259
2277	111364
2278	111369
2279	111374
2280	111470
2281	111475
2282	111566
2283	111661
2284	111666
2285	111671
2286	111676
2287	111681
2288	111686
2289	111691
2290	111773
2291	111869
2292	111874
2293	111990
2294	111993
2295	111998
2296	112003
2297	112006
2298	112011
2299	112120
2300	112220
2301	112316
2302	112416
2303	112514
2304	112616
2305	112711
2306	112821
2307	112826
2308	112829
2309	112926
2310	112929
2311	112934
2312	113029
2313	113032
2314	113037
2315	113130
2316	113228
2317	113316
2318	113397
2319	113494
2320	113499
2321	113606
2322	113609
2323	113703
2324	113782
2325	113863
2326	113868
2327	113952
2328	113957
2329	113962
2330	113965
2331	114051
2332	114145
2333	114222
2334	114227
2335	114315
2336	114425
2337	114430
2338	114435
2339	114440
2340	114445
2341	114542
2342	114632
2343	114637
2344	114726
2345	114731
2346	114734
2347	114739
2348	114744
2349	114747
2350	114840
2351	114843
2352	114936
2353	114941
2354	114946
2355	114951
2356	114956
2357	115047
2358	115052
2359	115154
2360	115257
2361	115262
2362	115267
2363	115272
2364	115368
2365	115373
2366	115378
2367	115470
2368	115571
2369	115672
2370	115774
2371	115878
2372	115883
2373	115888
2374	115891
2375	115987
2376	115992
2377	115997
2378	116095
2379	116100
2380	116191
2381	116281
2382	116286
2383	116373
2384	116378
2385	116383
2386	116468
2387	116572
2388	116658
2389	116759
2390	116764
2391	116767
2392	116847
2393	116852
2394	116930
2395	117019
2396	117022
2397	117027
2398	117032
2399	117037
2400	117042
2401	117047
2402	117145
2403	117150
2404	117236
2405	117241
2406	117328
2407	117419
2408	117504
2409	117592
2410	117595
2411	117679
2412	117760
2413	117854
2414	117942
2415	118018
2416	118023
2417	118116
2418	118119
2419	118122
2420	118127
2421	118220
2422	118223
2423	118228
2424	118324
2425	118410
2426	118504
2427	118507
2428	118510
2429	118515
2430	118604
2431	118609
2432	118614
2433	118698
2434	118703
2435	118708
2436	118713
2437	118718
2438	118812
2439	118815
2440	118820
2441	118825
2442	118830
2443	118833
2444	118934
2445	118937
2446	119032
2447	119035
2448	119038
2449	119043
2450	119148
2451	119235
2452	119317
2453	119420
2454	119509
2455	119592
2456	119675
2457	119680
2458	119758
2459	119763
2460	119768
2461	119771
2462	119853
2463	119856
2464	119936
2465	119939
2466	120001
2467	120084
2468	120087
2469	120169
2470	120251
2471	120256
2472	120261
2473	120352
2474	120357
2475	120440
2476	120520
2477	120600
2478	120680
2479	120756
2480	120835
2481	120840
2482	120921
2483	120926
2484	120931
2485	121006
2486	121100
2487	121196
2488	121288
2489	121386
2490	121491
2491	121583
2492	121586
2493	121591
2494	121691
2495	121778
2496	121783
2497	121876
2498	121971
2499	122064
2500	122170
2501	122173
2502	122262
2503	122267
2504	122272
