Sweep	Acceptance_rate	log_proposal_std
100	0.44	0.33232
200	0.12	0
300	0.22	-0.33232
400	0.39	-0.664639
500	0.41	-0.996959
600	0.5	-0.664639
700	0.29	-0.996959
800	0.49	-0.664639
900	0.34	-0.996959
1000	0.52	-0.680731
1100	0.38	-0.982242
1200	0.52	-0.693567
1300	0.39	-0.970917
1400	0.48	-0.703656
1500	0.37	-0.961855
1600	0.49	-0.711855
1700	0.35	-0.95439
1800	0.5	-0.718688
1900	0.39	-0.948104
2000	0.37	-1.17171
2100	0.52	-0.953493
2200	0.52	-0.740292
2300	0.33	-0.948806
2400	0.3	-1.15293
2500	0.48	-0.952931
2600	0.52	-0.756814
2700	0.38	-0.949265
2800	0.45	-0.760282
2900	0.38	-0.945978
3000	0.46	-0.763403
3100	0.42	-0.943009
3200	0.41	-1.11979
3300	0.45	-0.945708
3400	0.6	-0.774209
3500	0.37	-0.94324
3600	0.5	-0.776573
3700	0.47	-0.612174
3800	0.34	-0.774396
3900	0.49	-0.614268
4000	0.33	-0.772382
4100	0.49	-0.616208
4200	0.36	-0.770511
4300	0.47	-0.618013
4400	0.43	-0.768768
4500	0.38	-0.917839
4600	0.55	-0.770398
4700	0.5	-0.624533
4800	0.34	-0.76887
4900	0.4	-0.911727
5000	0.52	-0.770306
5100	0.49	-0.630278
5200	0.29	-0.768953
5300	0.4	-0.906313
5400	0.51	-0.770231
5500	0.41	-0.905071
5600	0.56	-0.77144
5700	0.41	-0.903893
5800	0.49	-0.772587
5900	0.4	-0.902776
6000	0.53	-0.773676
6100	0.34	-0.901713
6200	0.36	-1.02871
6300	0.46	-0.902725
6400	0.43	-1.02773
6500	0.48	-0.90369
6600	0.46	-0.780599
6700	0.37	-0.902768
6800	0.43	-1.02404
6900	0.45	-0.90365
7000	0.47	-0.784128
7100	0.47	-0.665449
7200	0.44	-0.547598
7300	0.37	-0.664639
7400	0.4	-0.780887
7500	0.36	-0.896357
7600	0.44	-0.781649
7700	0.47	-0.667689
7800	0.34	-0.780916
7900	0.4	-0.893425
8000	0.4	-1.00523
8100	0.49	-0.894117
8200	0.45	-0.783686
8300	0.44	-0.673922
8400	0.34	-0.783031
8500	0.48	-0.674565
8600	0.34	-0.782398
8700	0.43	-0.889609
8800	0.38	-0.99621
8900	0.46	-0.89021
9000	0.43	-0.995619
9100	0.55	-0.890791
9200	0.37	-0.995048
9300	0.48	-0.891353
9400	0.52	-0.788211
9500	0.48	-0.685613
9600	0.31	-0.787675
9700	0.39	-0.889209
9800	0.44	-0.788194
9900	0.45	-0.68769
10000	0.4	-0.78769
10100	0.42	-0.887194
10200	0.48	-0.788179
10300	0.4	-0.886712
10400	0.41	-0.98477
10500	0.45	-0.88718
10600	0.47	-0.790052
10700	0.48	-0.693378
10800	0.5	-0.597153
10900	0.42	-0.692936
11000	0.47	-0.597589
