29
4
4.4862	8.2256	9.573	6.5502
4.5377	8.206	7.9998	6.6507
4.7011	8.3421	6.6557	6.3805
4.9565	8.1171	10.1166	6.7737
4.5251	8.0454	7.3244	6.6174
4.9455	8.4323	9.9155	6.7114
4.6079	8.5604	9.981	7.0242
4.4322	8.3605	6.3071	6.4705
4.6575	8.6338	9.8377	6.5418
4.8645	8.5775	9.7728	6.8281
4.6572	8.4611	6.6979	6.4581
4.6415	8.1248	9.8362	6.7303
4.7361	8.7602	7.6362	6.8893
4.6751	8.0644	7.976	6.437
4.7344	8.1032	8.0456	6.843
4.9724	8.2065	9.7163	6.9167
5.2044	8.7026	9.6311	6.6317
5.416	8.5818	10.0382	7.2965
4.7141	8.0408	8.699	6.4022
5.2048	8.2664	9.703	6.9475
4.4788	7.3678	6.5169	6.535
4.9608	8.2552	9.0545	6.9609
4.5382	8.2719	10.214	6.8041
4.4985	7.9132	7.6763	6.357
4.5384	7.7904	9.4727	6.3672
4.4007	8.0584	8.1023	6.0689
4.7716	7.9555	9.9871	6.8429
4.4317	8.0384	9.9993	6.237
4.4529	8.0684	8.475	6.4338
